  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      7   30     0
     2      2  185  2019      3   22  2019
    14      3  144     0    161   16     0
     1      4   96  2551     88   14  2551
     8      5  102     0    163   15     0
   101      6   95     0     16   14     0
    61      7   79     0      4   14     0
    19      8   93     0     85   15     0
   109      9   84     0    499   10     0
    59     10   68     0    173    8     0
     3     11   84  1823      5   22  1823
   159     12   67     0     11   16     0
     0     13   68 10729    162   13  2498
    24     14   64     0    381   11     0
    32     15   72     0    214    8     0
   123     16   67     0     84   11     0
   107     17   64     0      1   13     0
   131     18   62     0    164   11     0
   178     19   48     0     15   10     0
   223     20   63     0    178   10     0
    63     21   56     0    346    9     0
   302     22   43     0   1000    7     0
   319     23   43     0    175    6     0
    86     24   52     0    174   13     0
    49     25   64     0     12   13     0
    72     26   42     0    210   10     0
   253     27   50     0   1189    5     0
   689     28   43     0    364    6     0
   129     29   38     0    903    5     0
    13     30   41   244    335    7   244
    35     31   47     0    220   12     0
   479     32   41     0    376    7     0
   184     33   44     0      8   10     0
  1890     34   30     0    974    4     0
   374     35   35     0    383    7     0
    41     36   37     0    340    6     0
  1642     37   28     0      6    5     0
   106     38   35     0     98    7     0
    93     39   44     0      9    9     0
   215     40   41     0    630    7     0
   165     41   38     0    422    7     0
    43     42   27     0   1329    4     0
  1146     43   22     0    119    5     0
    54     44   33     0    317    6     0
   110     45   30     0   1058    5     0
   639     46   33     0    228    4     0
    74     47   40     0     23    5     0
   939     48   31     0    448    7     0
     6     49   25     0    904    5     0
   243     50   36     0    107   10     0
