  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      2  951    44
   185      2 1317   372      1  709   372
   529      3 1140    46      4  527    46
   230      4 1284   102      7  512    98
   114      5 1004   123      6  481   114
   132      6 1180   111     10  470    83
   530      7 1521   171     11  546   171
    36      8  817   238      5  525   238
  1960      9  784   123     17  337   119
  2136     10  708    38     31  249    38
   323     11 1166    85     43  437    68
  1961     12  768   117     41  319    95
   124     13  848   101     23  426    89
    73     14  694   199     22  358   158
   540     15  625   139      9  351   139
   335     16  586   153     27  284   131
   173     17  694   274     16  337   204
   492     18  522    96     13  301    96
    23     19  894   334     33  320   252
   275     20  507   109     20  308    99
   542     21  497   226     12  321   226
   150     22  724   200     19  378   156
   131     23  632   188     14  385   154
   615     24  482    66     24  296    66
   372     25  577   120     38  265   106
   563     26  683    30     61  257    30
   277     27  439   139     28  278   129
    55     28  517    86     47  227    71
   174     29  614    85     34  286    79
  2137     30  941   106    111  283    77
    24     31  785   139     50  318   113
  2902     32  540   158     29  292   158
   140     33  802   320     62  316   200
   489     34  623    60     65  269    53
    30     35  820   493     39  361   282
   183     36  625   236     46  313   189
   157     37  657   152     32  323   115
   231     38  800    37    102  278    33
   165     39  496    99     21  309    99
   380     40  457   193     15  323   193
    60     41  499    47     58  216    47
   269     42  365   128     26  258   128
  1139     43  527   103     52  277   103
   186     44  524   308     56  270   230
  2158     45  391    93     44  231    93
  1972     46  328   161     30  237   161
  1783     47  440   119     51  247   114
   512     48  372    80     53  189    80
   220     49  908     3    121  304     1
    40     50  672   843    101  281   493
    27     51  579   440     57  253   223
    45     52  519    90     66  238    90
   407     53  378   111     37  225   111
   292     54  579   258     54  309   198
   357     55  423   422     35  260   259
   487     56  352   354     18  276   354
  2130     57  439    97     94  185    76
  2469     58  339    70     49  221    70
   703     59  433   124     69  232   116
   697     60  423   424      3  423   424
   734     61  369   162     25  292   157
  2510     62  820   313    115  313   194
   163     63  442    88     70  238    77
  2122     64  319   125     45  170   125
   149     65  401   140     40  259   121
   121     66  668    68    148  228    38
     0     67  636   139    120  232    93
   154     68  506   140     59  267   116
   294     69  491   120     78  252   104
    70     70  512   188     86  224   141
   199     71  441    56     77  215    44
    15     72  466   190     42  288   171
   322     73  464    23     75  235    20
   559     74  414    91    166  152    80
   344     75  425   210     67  245   163
