  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      2  705   227
   102      4  695   937      1  456   875
  4251      6 1088   426     12  284   115
   127     10  850   947      3  372   435
   172     11  986  1635      9  329   524
   353     17  812  1041      6  285   377
  1351     20 1023  1071     13  344   374
   396     24  638   792     10  274   332
   736     25  726   824      7  330   356
   138     26  537  1355     38  213   280
   165     27  610   547      5  284   315
  1164     34  736   480     16  281   194
   745     35  668   519     14  276   234
   131     36  633   873     28  252   292
   921     39  734   628     27  249   237
   907     40  819  1310     22  268   419
  3786     44  923   876     46  257   226
  1387     45  765   396     18  316   198
   519     46  817   670     25  269   246
    50     51  487   399      4  295   345
  1446     53  929   672     29  280   220
   924     55  714   861     17  274   328
   374     57  802  1103     15  318   432
   205     58  458  1527    128  136   386
  2871     59  856  1667     80  215   343
   939     60  559   212     35  215    75
   203     61  717   771     36  245   274
  3185     63  592   767     41  196   225
  2731     65  841   631     48  237   173
   830     66  595   502     26  222   187
  1298     70  732   723     23  279   229
   816     72  736   671     21  289   263
   500     74  624   627     19  266   287
  3996     75  614   501     39  217   188
   101     78  366   118     30  192    95
  1055     79  628   930    109  151   211
  1514     84  686   392     61  187   120
   892     87  420   362     77  156   140
    48     89  419   260     20  174   216
   116     90  435   278     34  212   155
  1030     92  737   853     55  212   213
  1188     93  664   683     52  206   147
   493     96  432   425     90  143   149
  5004     97  655   539     88  177   150
