  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2304    43
   185      2 1317   372      2 1055   362
   529      3 1140    46      5  899    46
   230      4 1284   102      7 1001   102
   114      5 1004   123      3  843   123
   132      6 1180   111      6  982   111
   530      7 1521   171      8 1193   139
    36      8  817   238      4  757   236
  1960      9  784   123     12  626   122
  2136     10  708    38     64  432    37
   323     11 1166    85     11 1019    84
  1961     12  768   117     49  577   106
   124     13  848   101     19  764    97
    73     14  694   199     17  601   188
   540     15  625   139     15  507   136
   335     16  586   153     20  483   150
   173     17  694   274     13  578   264
   492     18  522    96     22  429    94
    23     19  894   334     10  762   333
   275     20  507   109     21  454   109
   542     21  497   226     26  432   219
   150     22  724   200      9  677   200
   131     23  632   188     18  564   183
   615     24  482    66     30  426    65
   372     25  577   120     37  453   119
   563     26  683    30     70  467    30
   277     27  439   139     27  397   138
    55     28  517    86     35  397    84
   174     29  614    85     25  518    84
  2137     30  941   106     55  758   101
    24     31  785   139     23  692   138
  2902     32  540   158     60  389   150
   140     33  802   320     28  720   318
   489     34  623    60     50  513    60
    30     35  820   493     14  777   490
   183     36  625   236     32  571   234
   157     37  657   152     16  632   152
   231     38  800    37     73  625    36
   165     39  496    99     31  444    97
   380     40  457   193     24  440   191
    60     41  499    47     71  378    47
   269     42  365   128     41  323   121
  1139     43  527   103     51  456   101
   186     44  524   308     47  456   295
  2158     45  391    93     54  328    92
  1972     46  328   161     40  299   160
  1783     47  440   119     46  388   118
   512     48  372    80     91  273    76
   220     49  908     3     36  847     3
    40     50  672   843     75  556   733
    27     51  579   440     29  534   430
    45     52  519    90     69  409    90
   407     53  378   111     57  320   107
   292     54  579   258     34  554   256
   357     55  423   422     44  384   383
   487     56  352   354     79  299   301
  2130     57  439    97    139  316    87
  2469     58  339    70     66  289    69
   703     59  433   124     53  396   124
   697     60  423   424    128  330   330
   734     61  369   162     33  361   161
  2510     62  820   313     61  734   297
   163     63  442    88     78  370    87
  2122     64  319   125    161  236    94
   149     65  401   140     45  371   133
   121     66  668    68     67  575    58
     0     67  636   139     48  566   138
   154     68  506   140     43  458   140
   294     69  491   120     62  445   120
    70     70  512   188     39  463   188
   199     71  441    56     58  404    55
    15     72  466   190     42  452   189
   322     73  464    23     59  413    23
   559     74  414    91    172  283    89
   344     75  425   210     52  409   209
