  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 1320   185
     3      2 1049  1163      2  616   631
   338      3  672   735     87  296   302
   145      5 1496   873      5  868   420
  4251      6 1088   426     10  659   226
  1644      8 1518   790      3  939   457
   952      9 1116  1625     14  616   728
   172     11  986  1635     43  520   697
  1882     13 1248   970      4  910   661
  1249     14 1195  1683     13  762   750
  2093     15 1190  1774      9  845   649
   619     16 1184   953      6  877   654
  2371     18  490   396    220  254   228
  1764     19  789  2414     66  497   707
  1351     20 1023  1071     19  662   668
   903     21 1126  1033     11  771   670
  1113     22  841  2175     41  518   785
   149     23  867   762     22  537   431
  2376     28 1016  1362     17  726   731
   142     29  822   405     83  485   182
  2569     30 1037  1482      8  805  1003
   957     31  983   772     15  733   493
  4709     32  814  1260      7  636   865
  1511     33  740  1581     57  482   790
  3878     37  769   953     35  514   607
   867     38  868  1000     60  490   528
   921     39  734   628     54  423   331
   907     40  819  1310     81  478   702
   960     41 1027  1300     16  720   860
   213     43  756  1364     49  467   557
  3786     44  923   876     20  741   560
   519     46  817   670     23  565   379
   887     47  793  1209     56  465   711
  4972     48  894  1829     27  616   911
   302     49  775  1168     72  496   631
   155     50  797   828     46  514   437
  3493     52  939   968     12  785   774
  1446     53  929   672     18  657   393
  1964     54  644   709    105  381   315
   924     55  714   861     68  438   483
  1558     56  931   399     26  669   302
  2871     59  856  1667     34  635   957
   939     60  559   212    177  279    84
   203     61  717   771     65  453   401
  1659     62  590  1607    110  408   610
  3185     63  592   767    106  355   331
    80     64  711  1075     77  430   591
  2731     65  841   631     21  630   468
   844     67  763   339     91  448   170
  4600     68  577   729     55  408   379
  3052     69  788  1248     89  508   653
  1298     70  732   723    134  390   282
   393     71  730   804     36  529   531
   816     72  736   671     63  464   378
   853     73  616   873    142  354   415
  3996     75  614   501     45  430   346
  2207     76  666   900     92  450   505
  1055     79  628   930     78  404   468
  2775     80  667   971     40  480   557
  1431     81  825  1000     31  633   772
  1803     82  875  1482     25  687   946
  3823     83  512   814    205  331   338
  1514     84  686   392    112  408   192
  2245     85  571   275     62  383   171
  1694     86  760  1053     30  593   725
  3915     88  477   472    411  230   190
  1105     91  481   770    299  277   391
  1030     92  737   853     37  557   525
  1188     93  664   683     24  523   379
  7438     94  674  2083     79  473   774
  2607     95  709  2502     98  489   830
   493     96  432   425    304  225   181
  5004     97  655   539     76  482   397
    63     98  728  1269     38  558   723
  1450     99  793   548     28  614   402
  1557    100  645   981     48  485   612
