  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28      1 1171    28
  1317      2 1181    18      2 1178    18
  4960      3 1055    13      4  945    13
  1084      4 1243    49      3 1235    49
  6523      5  816    17      5  627    17
  4963      6  662     2     13  393     2
   700      7  636     2     23  337     2
  3912      8  772     5     36  366     5
  6259      9  837     9     25  433     9
 11366     10  798     3     15  569     3
 25118     11  760     9     31  358     9
  3507     12  671    20     11  561    20
   953     13  624     6      8  563     6
  6538     14  592     9      6  586     9
   698     15  714    19      9  633    19
 17388     16  544     3     43  230     3
  1898     17  814    18      7  806    18
  1934     18  786    18     14  720    18
   799     19  746    10     16  654    10
  2436     20  632     0     26  440     0
  6518     21  779    29     10  770    29
 25119     22  659     8     41  371     8
   695     23  485     8     30  353     8
   699     24  537    14     37  399    14
 25121     25  704     0   1108   40     0
  6540     26  684     3     22  596     3
  4597     27  657    25     17  638    25
  2941     28  655     6     19  614     6
  8672     29  580    17     28  439    17
  4770     30  503    11     20  472    11
  6541     31  592    27     18  590    27
  4613     32  679     5     21  660     5
  4590     33  634     5     24  615     5
 25115     34  603    21     40  447    21
  6533     35  539     0   1099   59     0
 25116     36  471    12     32  440    12
  5648     37  441     7     27  431     7
  4969     38  504    17     39  440    17
  3786     39  407     5     29  406     5
 23655     40  360    14     48  226    14
    42     41  309    17     38  276    17
   233     42  327    12     67  192    12
  3265     43    6     2     47    6     2
 24415     44  365    13     34  355    13
  9218     45   57     4     49   47     4
  5814     46  430    14     35  421    14
  9217     49    8     2     51    7     2
 10143     50  479    16     33  473    16
  4587     51  404    11     54  273    11
  1232     52  463     1     52  352     1
   398     53  412     9    119  131     9
 27211     54  211     3     12  211     3
   697     55  437     6    110  166     6
  4585     56  322    17     42  313    17
 26085     57  485    15     63  311    15
 12858     58    1     1     81    1     1
 12859     59    1     3     82    1     3
 12890     60  374    20     68  210    20
  6526     61  343     6     46  310     6
  2099     62  394    10     44  382    10
 32817     63  417    17     45  400    17
 11815     64   16     3     55   16     3
  6527     65  333     1    120  138     1
  6274     66  242     4     77  147     4
 17395     67  119     1    113   72     1
 11830     68    8    11     65    8    11
  6273     69  218     7     89  125     7
  7786     70  302    24     75  207    24
  4586     71  227     3     53  203     3
 61847     72  406    15     71  274    15
  3938     73  223     2    135   91     2
  3911     74  218     8     93  163     8
 56543     75  273     3     98  147     3
  2714     76  140     2   7748   10     2
  9562     77  316    10     56  287    10
  5287     78   80     8     60   51     8
 61849     81  402    15     78  270    15
  6535     82  316    10     57  306    10
  2756     83  176     5     58  165     5
 17393     84    2    10    150    2    10
 30647     85  260     4     88  165     4
  4980     86  113     5     64  112     5
  1831     87  270    12    108  147    12
 16422     88    1     1    141    1     1
 34695     89  208    13     59  205    13
  6520     90  289    10     62  288    10
  6530     91  290     7     66  265     7
  7744     92  255    12     91  205    12
  6277     93  170     6    131   89     6
  1370     94  160     6     61  160     6
 16423     95    2     4    225    1     4
  1255     96  251    11     86  192    11
    59     97  143     4     69  135     4
 17394     98   18     3    173   14     3
 19048     99  212     7   1280   30     7
 36905    100   63    20     74   61    20
