  node o_rank o_in o_out p_rank p_in p_out
     4      1  204     0      1  136     0
    14      3  144     0      2   99     0
     1      4   96  2551      4   65  1905
     8      5  102     0      3   69     0
   101      6   95     0      6   62     0
    61      7   79     0      7   53     0
    19      8   93     0      5   62     0
    59     10   68     0      8   46     0
   159     12   67     0     10   45     0
     0     13   68 10729      9   45  7870
    24     14   64     0     11   45     0
    32     15   72     0     15   49     0
   107     17   64     0     16   42     0
   131     18   62     0     12   41     0
    63     21   56     0     14   36     0
   302     22   43     0     21   28     0
   319     23   43     0     13   31     0
    49     25   64     0     20   41     0
   253     27   50     0     25   35     0
   689     28   43     0     17   29     0
    13     30   41   244     27   28   179
    35     31   47     0     18   33     0
   479     32   41     0     22   29     0
  1890     34   30     0     19   22     0
   374     35   35     0     23   27     0
    41     36   37     0     24   25     0
   106     38   35     0     34   24     0
    93     39   44     0     29   30     0
    54     44   33     0     33   22     0
   639     46   33     0     26   24     0
     6     49   25     0     32   18     0
