  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28      1 1076    26
  1317      2 1181    18      6  710    11
  1084      4 1243    49      2 1088    45
  6523      5  816    17      3  731     3
  4963      6  662     2      5  543     2
  3912      8  772     5     23  428     3
  6259      9  837     9      7  586     9
 11366     10  798     3      4  741     2
   698     15  714    19     11  514    19
  1934     18  786    18     10  725    18
   799     19  746    10     13  556    10
  2436     20  632     0     21  504     0
  6518     21  779    29      8  650    28
 25119     22  659     8     15  578     8
   699     24  537    14      9  449    14
  6540     26  684     3     22  476     3
  4597     27  657    25     12  657    24
  2941     28  655     6     14  628     6
  8672     29  580    17     20  467    17
  4770     30  503    11     18  406    10
  4613     32  679     5     16  678     5
  4590     33  634     5     17  634     5
  6533     35  539     0     30  373     0
 25116     36  471    12     38  286    11
  4969     38  504    17     31  364    16
  3786     39  407     5     26  365     5
 23655     40  360    14     37  189     4
    42     41  309    17     24  272    17
 24415     44  365    13     33  256    11
  9218     45   57     4     27   55     4
  5814     46  430    14     32  315    13
  9217     49    8     2     28    8     2
 10143     50  479    16     29  431    16
   398     53  412     9     34  337     8
   697     55  437     6     39  373     5
 12890     60  374    20     41  219     3
  6274     66  242     4     35  239     4
 11830     68    8    11     25    7    11
  6273     69  218     7     42  215     7
  4586     71  227     3     44  136     2
  3911     74  218     8     40  202     8
  9562     77  316    10     57  191     9
  6535     82  316    10     59  216     7
 30647     85  260     4     43  252     4
  1831     87  270    12     54  189     1
 34695     89  208    13     45  206    13
  6530     91  290     7     98  200     0
  6277     93  170     6     51  168     6
    59     97  143     4     49  143     4
 19048     99  212     7     58  160     5
