  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 2226   291
     3      2 1049  1163      2 1048  1157
   338      3  672   735      3  668   728
   102      4  695   937      4  695   934
   145      5 1496   873      5 1494   872
  4251      6 1088   426      6 1088   425
   308      7  856   646      8  856   646
  1644      8 1518   790      7 1486   781
   952      9 1116  1625      9 1109  1611
   127     10  850   947     10  850   941
   172     11  986  1635     12  981  1625
   894     12  408   404     20  407   402
  1882     13 1248   970     11 1247   968
  1249     14 1195  1683     13 1191  1668
  2093     15 1190  1774     18 1184  1737
   619     16 1184   953     14 1181   941
   353     17  812  1041     15  811  1037
  2371     18  490   396     22  486   387
  1764     19  789  2414     37  776  2268
  1351     20 1023  1071     17 1022  1070
   903     21 1126  1033     16 1126  1029
  1113     22  841  2175     25  829  2119
   149     23  867   762     19  866   762
   396     24  638   792     23  636   789
   736     25  726   824     21  725   819
   138     26  537  1355     35  534  1322
   165     27  610   547     24  609   547
  2376     28 1016  1362     29 1010  1343
   142     29  822   405     26  822   405
  2569     30 1037  1482     28 1033  1477
   957     31  983   772     27  977   771
  4709     32  814  1260     30  814  1240
  1511     33  740  1581     46  734  1549
  1164     34  736   480     32  735   480
   745     35  668   519     31  668   519
   131     36  633   873     42  631   865
  3878     37  769   953     36  763   952
   867     38  868  1000     34  866   996
   921     39  734   628     45  732   626
   907     40  819  1310     39  814  1304
   960     41 1027  1300     33 1025  1297
   213     43  756  1364     41  753  1346
  3786     44  923   876     43  921   873
  1387     45  765   396     44  765   395
   519     46  817   670     40  815   668
   887     47  793  1209     38  792  1204
  4972     48  894  1829     53  888  1787
   302     49  775  1168     52  774  1157
   155     50  797   828     48  796   825
    50     51  487   399     51  487   399
  3493     52  939   968     50  938   958
  1446     53  929   672     47  928   669
  1964     54  644   709     64  642   693
   924     55  714   861     55  710   847
  1558     56  931   399     54  918   395
   374     57  802  1103     49  801  1103
   205     58  458  1527     74  454  1513
  2871     59  856  1667     71  850  1634
   939     60  559   212     67  558   211
   203     61  717   771     57  716   768
  1659     62  590  1607     75  589  1575
  3185     63  592   767     62  592   762
    80     64  711  1075     60  708  1070
  2731     65  841   631     59  839   631
   830     66  595   502     65  595   491
   844     67  763   339     56  762   339
  4600     68  577   729     82  576   718
  3052     69  788  1248     70  786  1225
  1298     70  732   723     58  731   680
   393     71  730   804     73  727   800
   816     72  736   671     61  736   671
   853     73  616   873     66  616   864
   500     74  624   627     63  623   626
  3996     75  614   501     68  612   500
  2207     76  666   900     80  661   879
   126     77  470   365     81  469   363
   101     78  366   118     87  366   118
  1055     79  628   930     83  625   923
  2775     80  667   971     69  663   962
  1431     81  825  1000     72  825   997
  1803     82  875  1482     76  871  1456
  3823     83  512   814    136  503   768
  1514     84  686   392     78  675   386
  2245     85  571   275     84  567   274
  1694     86  760  1053     79  759  1045
   892     87  420   362     95  418   357
  3915     88  477   472     93  474   466
    48     89  419   260     96  419   259
   116     90  435   278     86  435   274
  1105     91  481   770     91  480   769
  1030     92  737   853     77  736   848
  1188     93  664   683     90  662   674
  7438     94  674  2083     94  672  2008
  2607     95  709  2502    101  700  2448
   493     96  432   425    107  432   423
  5004     97  655   539    100  655   530
    63     98  728  1269     97  725  1244
  1450     99  793   548     85  793   548
  1557    100  645   981    103  645   979
