  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2150    31
   185      2 1317   372      2  987   353
   114      5 1004   123      3  784   103
   132      6 1180   111      6  760   108
   530      7 1521   171      4 1044   163
    36      8  817   238      5  691   234
  1960      9  784   123     24  455   111
   323     11 1166    85      7 1010    80
   124     13  848   101     29  524    75
    73     14  694   199     14  533   154
   540     15  625   139      9  588   137
   335     16  586   153     16  491   134
   173     17  694   274      8  615   273
   492     18  522    96     12  481    94
    23     19  894   334     10  845   331
   275     20  507   109     25  386   106
   542     21  497   226     22  407   215
   150     22  724   200     11  698   200
   131     23  632   188     13  566   174
   615     24  482    66     50  285    64
   372     25  577   120     19  512   114
   277     27  439   139     37  337   135
    55     28  517    86     31  341    78
   174     29  614    85     18  539    82
    24     31  785   139     27  587   126
  2902     32  540   158     28  422   147
   140     33  802   320     21  666   316
    30     35  820   493     17  762   479
   183     36  625   236     26  481   219
   157     37  657   152     15  637   152
   231     38  800    37     82  466    33
   165     39  496    99     42  348    92
   380     40  457   193     20  433   187
    60     41  499    47    120  278    28
   269     42  365   128     49  259    98
  1139     43  527   103     39  416    99
   186     44  524   308     68  344   251
  2158     45  391    93     81  232    84
  1972     46  328   161     33  300   155
  1783     47  440   119     51  316   107
   512     48  372    80     56  283    73
   220     49  908     3     67  629     0
    40     50  672   843     57  471   663
    27     51  579   440     23  569   436
    45     52  519    90     58  397    87
   407     53  378   111     53  303   107
   292     54  579   258     35  492   255
   357     55  423   422     34  377   376
   487     56  352   354    115  217   213
  2469     58  339    70     62  251    66
   703     59  433   124     69  313   116
   697     60  423   424     99  271   271
   734     61  369   162     30  363   161
  2510     62  820   313     48  645   286
   163     63  442    88     95  296    84
   149     65  401   140     38  379   138
   121     66  668    68     65  499    57
     0     67  636   139     36  585   135
   154     68  506   140     43  425   140
   294     69  491   120     83  356   113
    70     70  512   188     32  501   187
   199     71  441    56     46  371    56
    15     72  466   190     41  442   189
   322     73  464    23     44  420    23
   559     74  414    91    110  282    74
   344     75  425   210     55  377   197
